Date,XOM,CVX,COP,SLB,EOG,MPC,PSX,VLO,WMB,BKR,OXY,HES,HAL,KMI,MRO,PXD,APA,DVN,FANG,FTI,NOV,MUR,OKE,HP,NBR,MTDR,RIG,SWN,AR,CHK,CNX,CRK,SM,RRC,GPOR,CPE,SBOW,REI,TPL,OVV,WES,PAA,HESM,ENLC,ETRN,AM
2021-05-19,-1.2042426519865432,-1.4735216224135161,-1.2259167866415739,-1.1305257756068494,-1.078897517433392,-0.5198420894080152,-0.4960626677824878,-1.0669050049885056,-0.6405052620855604,-0.8856770673726713,-0.922394235031988,-0.8894839796688739,-1.0613909214450297,-0.7463604394770389,-0.8364652460198891,-1.3278671287920338,-1.020437571276818,-1.0801821257522881,-0.8156011552698276,-0.3666956755353659,-1.655388202012517,-0.39166972480135315,-0.834893817938001,-0.9220693555596188,-0.46515720066790195,-0.4788509580753434,-1.028447375453484,-0.29688102850445236,0.6580577663801928,-0.2801379290894699,-0.23051963353393348,-0.5180871628156769,-1.4261044706597097,0.257926544240647,-2.6830766741686474,-0.9242746280379766,-1.021488929059764,-0.5748844997746106,-1.2695262214040846,-0.7284834996041507,-1.1612051864681963,-0.7736973927725719,-0.7854234912630255,-1.1071697313065885,-0.843405639970922,-0.3254350408277766
2021-05-20,-0.12980453977046932,0.16285092637347118,-0.1569844171665356,-0.2553992888701184,-0.02615393201163832,0.034434524718810935,-0.3114683182383091,-0.15313117227769302,0.6118864105171983,0.2391555981832725,-0.1524441512327282,-0.35641584636887486,-0.2465028578476728,0.706608779329452,-0.2273646747758036,-0.6443317181908367,-0.24374251958265758,-0.04052262347351331,-0.5652931020475054,-0.22695519770728334,-0.5110893962581701,0.4068157671454713,0.5939268352752813,-0.07495402182844826,-0.19754067158610186,-0.13021408301244503,-0.5060899406740305,-0.25139148389651644,-0.3593364372534011,-0.4564663193225968,0.33991512798188894,-0.13796253005426495,0.2224073110430799,-0.05564719504238701,-1.1394940979091777,0.21487465341238338,-0.7191573018811155,-0.7722873409085301,0.7559501529863318,-0.0976414807024605,0.8787255945006408,1.024500765493543,1.3730413554633314,0.7970847407699396,1.3324319063277106,0.3488545274835224
2021-05-21,0.05335631775759939,0.2607112265641336,0.16544375908424583,0.1830021880034282,-0.2174367273862894,-0.08930840067297083,-0.3999024876936694,0.0785846064043729,0.07742652808512591,0.22246260751631716,0.18281521320476066,-0.0379579246245506,0.09372878339122617,0.056899828655370785,0.1621967927505379,-0.010985390068633812,0.3024396573157,0.08339586470967286,-0.11169431600760692,0.16696847057953604,-0.08549284512843755,-0.061623728381642665,-0.32955933885980493,0.17712157419434366,0.3707532518933261,0.07065836091125174,0.5207197527708881,0.6640473338520906,0.04590500285461433,-0.08313064890881312,-0.05445714314740827,0.07688704497949553,-0.048672160735912746,0.10022525676392756,-1.4685187195846,0.02201587970613464,0.7126418214182999,0.19932592344212707,-0.23955382817673415,-0.3569556262541157,-0.8080035854495918,-0.3098367638906649,-0.2257111424209427,0.32709460452501465,-0.3671251889900156,-0.07662856639223353
2021-05-24,0.5576588999171647,0.7073963048759564,0.29949199075959937,-0.2772818909181842,0.013926789692274745,0.6591894207479799,0.5674841598215955,0.49143969798683595,0.21936509213327945,-0.6014574136125433,0.35257350540589727,0.9178303160079437,0.05094619294385921,0.3321404231116262,0.9236262918771087,0.2043608704678021,-0.02496423412765989,0.6487202800096072,0.361340029150535,-0.37147868310914167,0.23249385125307828,1.1708629877598153,0.6255126986757384,-0.2593409276435308,0.3597155529401919,0.4889648220572568,0.15871772351389069,0.08573425815902666,-0.05590745981786564,0.06710061236206646,-0.4062720135357686,-0.5294376796262338,0.7651062683590569,-0.15951043501314005,-0.3872319102245364,0.8088449024580906,0.6762607789980595,-0.33907071965969443,-0.7646015064430094,0.9921564361319631,0.07425800067429303,0.633705513249909,0.4688424927715595,-0.23950196910552324,-0.8019947791963379,-0.7928699774451845
2021-05-25,-1.1365889581908675,-0.8615330259372475,-0.8951996956833371,-0.5077397559997398,-0.6739304985886393,-0.47975968545322045,-1.1056884112897676,-0.4688355403076758,-1.1929231972279732,-1.5926961799923376,-0.9614926742206986,-0.7681937984228953,-0.8359602862339729,-0.8963565627516227,-0.8079217985569433,-0.8769001981554841,-1.172749047478397,-0.1831828737036121,-0.7400732175017227,-0.26632320348142147,-0.5557663198666389,-1.5102041146540732,-1.0988089343629688,-1.05051624319669,-1.0588106182872075,-0.5966276683368341,-1.1314975273332488,-1.3680250724459277,-0.8171917997263431,-0.12481374145012039,-1.2746416375051766,-0.8555227751002836,-0.6581756293747394,-0.941301970095532,-0.7614473407622872,-0.695904950029735,-0.6827762594608751,-0.9079659688365471,-0.479391612389114,-0.730677142960743,-0.8573463354742877,-0.23196400713830317,-0.4956986970469964,-0.7033488456833916,-0.8225313715692797,-0.22364700359063758
2021-05-26,0.5557678551085585,0.10762039892855507,0.3686042113471021,0.3269812810648697,0.39790026895716235,0.4426093034735012,0.05458791467994117,0.7855190982706174,0.1410113791882544,0.04246896839541109,0.763137776934355,0.6303363015743964,0.46952319873410064,-0.5964260691179354,0.5924381496878123,0.47672377745206795,0.6598982191696502,0.648018172777821,1.0711546255410034,0.5656247114535682,0.15958467445989075,0.7302180268123172,-0.12670465124620597,0.5541397366320047,0.751428841168781,1.1083363117545828,0.7397244176084354,0.48468107123300885,0.6711394389014368,1.8934984066080178,0.9418600510564069,0.3953780868991328,1.364076181912646,0.39041518265724867,-0.3974763654775724,0.5232626161416926,0.22095947826808482,0.7665570505158842,-0.42360617428200154,1.3096842356078637,1.2369528674739103,0.2179293031624923,1.119527599098885,-0.542122099661888,0.0553466508401219,-0.18839485498593217
2021-05-27,-0.33044237082754824,-0.5644592629718045,0.05806007978113529,-0.23716149007799608,0.3087579813382968,0.3224125387270704,0.4877472297298178,0.7412890009904477,0.5508457092331068,0.26576715380922333,0.865150710536609,0.46248568800947587,0.32112423867025497,-0.28703795316267955,0.4562314862808731,0.3895428194571539,0.41376114651332296,0.23985246338255076,0.37431236551633573,1.6220487370059546,0.3274354067683482,0.4798269012742059,0.20014295954580594,0.7181801117594557,0.3866790929843802,-0.0570741539672815,0.5139990276141209,0.3792232808913678,0.38346807773184777,0.08649042301398809,-0.46081923831100224,-0.4589128673747011,0.9501556533801265,-0.39628788204681553,0.5888421611394824,0.6450993554250645,1.8406224857411138,0.5620998098169676,-0.08555723025929307,-0.019157351030180847,-1.1481056437976214,0.4020621950451043,-0.00537942265065544,0.689989676772506,0.09555997567429042,0.7182353011050244
2021-05-28,-0.17263120638328858,0.3708587743098818,0.1293178084678728,-0.020428529506509314,-0.012838962921726456,0.19970429295152678,-0.10442698211490256,-0.19170614077092404,0.05718063651801129,0.08970886480186761,-0.13596298960895312,-0.5963491072082255,-0.11887905513856604,0.24667758203933654,0.030013433494254026,0.03420118793358754,-0.04919841369588931,-0.11437519142992904,0.24941293062442754,-0.28395387058385424,-0.21683644011600978,-0.011296200778878107,-0.05963192260249309,-0.5840159103871442,-1.095339896776077,0.22398557716545986,-0.44809970779464825,-0.7913759192560385,-0.03873064550577449,-0.15255576027654208,0.10228251214183931,0.2617532232159195,-0.027106053826483057,0.08686787299864461,0.12825047847836044,-0.32101180121863265,-0.5744272158055761,0.2857865117524358,-0.3120122812104484,0.027625444284643443,-0.5016337902573503,-0.304106923760922,-0.03849608746663716,0.04467354365212701,-0.14636986243328795,-0.9135252617005175
2021-06-01,1.7118485544938744,1.3767406980100094,1.7445398734119806,1.6879989069057622,1.823738357913534,0.3756450601882157,1.2295466625615588,0.7638389837192319,1.0863696450218956,1.7321395120623444,2.656446547532176,1.580803953867344,1.217311722855165,0.5256555501098218,3.7779453019821463,2.2317624176242457,2.5842128792019046,3.6423888209303357,2.3299266241019945,1.2570693608920795,1.5492959772604076,2.360403971623056,0.7409929041159279,1.7363927529811671,2.494459710350428,1.2217539723641382,1.3426209836529728,2.720438843667858,0.8640836877283424,1.5948343334366253,1.1197823494006396,1.934742557846895,2.268454142482457,2.0408917038813628,0.5820083183472137,2.2424733372534202,2.6325020538956188,2.7261983034806585,1.02861896773449,2.1882399451099066,0.8432064887456002,1.5640364394354345,-0.976649027695737,1.1742542957826796,3.1391541274079904,1.891152507060871
2021-06-02,0.3745049737930239,0.6666781572916929,0.4675932309934244,2.5132292156313447,0.2686700486086393,0.24238852985501141,1.2556585116741323,0.9296379566537069,0.7692250947742353,1.1159293392465677,0.7485206387425412,0.22067836235833665,1.3282149286791831,0.7969909566500607,0.2628525253445255,1.1719905398081454,0.4844177164222434,0.5426969628390638,-0.08427269485947055,2.8507098284794457,0.8549001126173994,0.8204812862074942,0.33227609112369916,2.0523197497614727,2.4273509549841745,0.015317394891189893,1.7430543556127904,-0.7793769847618065,-0.7412073209436282,-1.1690574426482254,0.11948785324386625,0.23914513241359625,1.3942746350358797,0.3387862072431162,-0.053069820517346614,2.1952454042480207,0.6851753738021367,1.2820001732368287,-0.21121996302461693,0.39544871932688913,0.5276150860974024,1.0878252695126867,1.3283810687952144,1.1793650536789357,-0.8427550710119495,-0.21567195034088002
