Source,Target,TE_Discrete,TE_kNN,Bias_kNN,TE_kNN_Corrected
XOM,CVX,-2.1798241821731112,2.2041493834512416,1.5056137473474784,0.6985356361037631
XOM,COP,-2.2994131234334176,2.1137318228219018,1.5056137473474784,0.6081180754744233
XOM,SLB,-2.2741515420475427,1.950762988096474,1.5056137473474784,0.44514924074899564
XOM,EOG,-2.367499299911927,1.9908572522920447,1.5056137473474784,0.48524350494456625
XOM,MPC,-2.4018221895106087,1.7342088041034214,1.5056137473474784,0.22859505675594294
XOM,PSX,-2.4401242998594377,1.8641350441290736,1.5056137473474784,0.35852129678159517
XOM,VLO,-2.4659361768106263,1.8217193345149112,1.5056137473474784,0.31610558716743276
XOM,WMB,-2.3621740384691226,1.7191995865798684,1.5056137473474784,0.21358583923238994
XOM,BKR,-2.3671214303410855,1.8806232730456518,1.5056137473474784,0.37500952569817336
XOM,OXY,-2.0724761966658667,1.8231613271157483,1.5056137473474784,0.31754757976826986
XOM,HES,-2.466429930652919,2.016525813372291,1.5056137473474784,0.5109120660248125
XOM,HAL,-2.417109262806602,2.006230967801647,1.5056137473474784,0.5006172204541683
XOM,KMI,-2.411699585298699,1.7922223917343993,1.5056137473474784,0.2866086443869209
XOM,MRO,-2.3050450266878366,2.037940750327164,1.5056137473474784,0.5323270029796854
XOM,PXD,-2.223484568424629,1.9059116145195782,1.5056137473474784,0.4002978671720998
XOM,APA,-2.25814370943455,1.8516760173227582,1.5056137473474784,0.3460622699752798
XOM,DVN,-2.141245343294865,1.890447060270117,1.5056137473474784,0.38483331292263867
XOM,FANG,-2.3576763224468875,1.8161350253856616,1.5056137473474784,0.3105212780381832
XOM,FTI,-2.394462021788737,1.7723210494825534,1.5056137473474784,0.266707302135075
XOM,NOV,-2.2903775999010634,1.843806937305126,1.5056137473474784,0.3381931899576476
XOM,MUR,-2.274451739156094,1.8693766911579612,1.5056137473474784,0.3637629438104828
XOM,OKE,-2.295821291451114,1.631764622685322,1.5056137473474784,0.12615087533784353
XOM,HP,-2.2164142527317945,1.8253442131035396,1.5056137473474784,0.3197304657560611
XOM,NBR,-2.124417600793643,1.6494595486825732,1.5056137473474784,0.14384580133509473
XOM,MTDR,-2.3829626086994926,1.7795981949990605,1.5056137473474784,0.27398444765158203
XOM,RIG,-2.373611215834771,1.7112180184313297,1.5056137473474784,0.20560427108385126
XOM,SWN,-2.448903259224701,1.6424557435824054,1.5056137473474784,0.136841996234927
XOM,AR,-2.4805244984759627,1.5206938419174425,1.5056137473474784,0.015080094569964064
XOM,CHK,-2.5624405687544414,1.8419540979283842,1.5056137473474784,0.3363403505809057
XOM,CNX,-2.148166429487232,1.5126928155564727,1.5056137473474784,0.007079068208994288
XOM,CRK,-2.5764680775338604,1.7614730098428515,1.5056137473474784,0.25585926249537305
XOM,SM,-2.3521000265242655,1.5914088211553232,1.5056137473474784,0.08579507380784479
