Source,Target,TE_Discrete,p_value_Discrete,TE_kNN,p_value_kNN
XOM,CVX,-2.1798241821731112,0.964,2.2041493834512416,0.0
CVX,XOM,-2.428256104680078,0.806,2.3210266397975605,0.0
