,date,ticker,marketcap
0,2024-03-08,XOM,430035.0
1,2024-03-07,XOM,426027.4
2,2024-03-06,XOM,423646.7
3,2024-03-05,XOM,419163.1
4,2024-03-04,XOM,414084.2
5,2024-03-01,XOM,419956.6
6,2024-02-29,XOM,414719.1
7,2024-02-28,XOM,413925.5
8,2024-02-27,XOM,412262.3
9,2024-02-26,XOM,413134.2
10,2024-02-23,XOM,411509.4
11,2024-02-22,XOM,415155.3
12,2024-02-21,XOM,415511.9
13,2024-02-20,XOM,407189.8
14,2024-02-16,XOM,411073.5
15,2024-02-15,XOM,411073.5
16,2024-02-14,XOM,399620.6
17,2024-02-13,XOM,401602.1
18,2024-02-12,XOM,408854.2
19,2024-02-09,XOM,403306.2
20,2024-02-08,XOM,412024.6
21,2024-02-07,XOM,405089.5
22,2024-02-06,XOM,405208.4
23,2024-02-05,XOM,402434.3
24,2024-02-02,XOM,404098.7
25,2024-02-01,XOM,405763.2
26,2024-01-31,XOM,407427.6
27,2024-01-30,XOM,415511.9
28,2024-01-29,XOM,408695.7
29,2024-01-26,XOM,408180.5
30,2024-01-25,XOM,404732.8
31,2024-01-24,XOM,394706.6
32,2024-01-23,XOM,388009.3
33,2024-01-22,XOM,383689.7
34,2024-01-19,XOM,384204.9
35,2024-01-18,XOM,383610.5
36,2024-01-17,XOM,384323.8
37,2024-01-16,XOM,387137.4
38,2024-01-12,XOM,396093.6
39,2024-01-11,XOM,391021.1
40,2024-01-10,XOM,391100.4
41,2024-01-09,XOM,394984.0
42,2024-01-08,XOM,399937.7
43,2024-01-05,XOM,406714.3
44,2024-01-04,XOM,405485.8
45,2024-01-03,XOM,409052.4
46,2024-01-02,XOM,405644.3
47,2023-12-29,XOM,396212.5
48,2023-12-28,XOM,397044.7
49,2023-12-27,XOM,402870.2
50,2023-12-26,XOM,404772.4
51,2023-12-22,XOM,403861.0
52,2023-12-21,XOM,403147.6
53,2023-12-20,XOM,401324.7
54,2023-12-19,XOM,408140.9
55,2023-12-18,XOM,402830.6
56,2023-12-15,XOM,399858.4
57,2023-12-14,XOM,402553.2
58,2023-12-13,XOM,392011.8
59,2023-12-12,XOM,388564.1
60,2023-12-11,XOM,394785.9
61,2023-12-08,XOM,394508.5
62,2023-12-07,XOM,390030.4
63,2023-12-06,XOM,392764.8
64,2023-12-05,XOM,398035.5
65,2023-12-04,XOM,405921.7
66,2023-12-01,XOM,408140.9
67,2023-11-30,XOM,407150.2
68,2023-11-29,XOM,405565.0
69,2023-11-28,XOM,411747.2
70,2023-11-27,XOM,411984.9
71,2023-11-24,XOM,414402.3
72,2023-11-22,XOM,412183.1
73,2023-11-21,XOM,413966.4
74,2023-11-20,XOM,414124.9
75,2023-11-17,XOM,415947.9
76,2023-11-16,XOM,406040.6
77,2023-11-15,XOM,410796.1
78,2023-11-14,XOM,413292.7
79,2023-11-13,XOM,415472.3
80,2023-11-10,XOM,411152.7
81,2023-11-09,XOM,408022.0
82,2023-11-08,XOM,407903.1
83,2023-11-07,XOM,412975.7
84,2023-11-06,XOM,419554.1
85,2023-11-03,XOM,427123.3
86,2023-11-02,XOM,432394.0
87,2023-11-01,XOM,418642.6
88,2023-10-31,XOM,419474.9
89,2023-10-30,XOM,423858.1
90,2023-10-27,XOM,422537.0
91,2023-10-26,XOM,430743.5
92,2023-10-25,XOM,434706.7
93,2023-10-24,XOM,433906.1
94,2023-10-23,XOM,438149.5
95,2023-10-20,XOM,444674.7
96,2023-10-19,XOM,452440.8
97,2023-10-18,XOM,452160.6
98,2023-10-17,XOM,445915.6
99,2023-10-16,XOM,440151.0
100,2023-10-13,XOM,439830.8
101,2023-10-12,XOM,426219.9
102,2023-10-11,XOM,426300.0
103,2023-10-10,XOM,442152.6
104,2023-10-09,XOM,444034.1
105,2023-10-06,XOM,429022.2
106,2023-10-05,XOM,436308.0
107,2023-10-04,XOM,446356.0
108,2023-10-03,XOM,463689.8
109,2023-10-02,XOM,462889.2
110,2023-09-29,XOM,470695.4
111,2023-09-28,XOM,478261.4
112,2023-09-27,XOM,481183.8
113,2023-09-26,XOM,466011.7
114,2023-09-25,XOM,465291.1
115,2023-09-22,XOM,460127.0
116,2023-09-21,XOM,459406.4
117,2023-09-20,XOM,465971.6
118,2023-09-19,XOM,469694.6
119,2023-09-18,XOM,470935.6
120,2023-09-15,XOM,467172.6
121,2023-09-14,XOM,474458.4
122,2023-09-13,XOM,466131.8
123,2023-09-12,XOM,470335.1
124,2023-09-11,XOM,457004.5
125,2023-09-08,XOM,462809.1
126,2023-09-07,XOM,456163.8
127,2023-09-06,XOM,458405.6
128,2023-09-05,XOM,454482.5
129,2023-09-01,XOM,454442.4
130,2023-08-31,XOM,445115.0
131,2023-08-30,XOM,443874.0
132,2023-08-29,XOM,439590.6
