Date,XOM,CVX,COP,SLB,EOG,MPC,PSX,VLO,WMB,BKR,OXY,HES,HAL,KMI,MRO,PXD,APA,DVN,FANG,FTI,HFC,NOV,COG,MUR,NBLX,OKE,HP,NBR,PDCE,MTDR,RIG,SWN,AR,CHK,CNX,CRK,CDEV,SM,RRC,QEP,GPOR,CLR,WLL,OAS,LPI,CPE,SBOW,REI,TPL,OVV,WES,PAA,PSXP,DCP,HESM,ENLC,ETRN,AM
2022-10-28,110.69999694824219,179.97999572753906,127.16999816894531,50.45000076293945,133.69000244140625,113.56999969482422,104.19999694824219,125.9800033569336,32.66999816894531,27.239999771118164,71.83999633789062,140.47000122070312,35.95000076293945,17.770000457763672,30.15999984741211,257.30999755859375,45.439998626708984,76.01000213623047,153.82000732421875,10.180000305175781,,21.579999923706055,,47.59000015258789,,59.720001220703125,49.279998779296875,169.8000030517578,,65.91999816894531,3.619999885559082,6.579999923706055,35.20000076293945,97.86000061035156,16.34000015258789,17.860000610351562,,44.790000915527344,27.1299991607666,,87.62000274658203,,,,,44.09000015258789,33.77000045776367,3.0999999046325684,2319.1201171875,50.13999938964844,28.40999984741211,11.880000114440918,,,28.649999618530273,11.680000305175781,8.199999809265137,10.489999771118164
2022-10-31,110.80999755859375,180.89999389648438,126.08999633789062,52.029998779296875,136.52000427246094,113.62000274658203,104.29000091552734,125.55000305175781,32.72999954223633,27.65999984741211,72.5999984741211,141.0800018310547,36.41999816894531,18.1200008392334,30.450000762939453,256.4100036621094,45.459999084472656,77.3499984741211,157.11000061035156,10.59000015258789,,22.399999618530273,,48.5099983215332,,59.31999969482422,49.5099983215332,174.02999877929688,,66.44999694824219,3.680000066757202,6.929999828338623,36.65999984741211,102.2699966430664,16.809999465942383,18.780000686645508,,44.97999954223633,28.479999542236328,,89.51000213623047,,,,,43.959999084472656,35.470001220703125,3.190000057220459,2303.8701171875,50.650001525878906,28.709999084472656,11.970000267028809,,,28.940000534057617,11.880000114440918,8.420000076293945,10.649999618530273
2022-11-01,111.91000366210938,182.22000122070312,127.77999877929688,51.54999923706055,136.30999755859375,119.19999694824219,107.37999725341797,130.0,33.439998626708984,28.5,73.80000305175781,143.3000030517578,36.5,18.239999771118164,30.93000030517578,252.92999267578125,45.790000915527344,77.30000305175781,158.6300048828125,10.680000305175781,,22.5,,49.880001068115234,,60.060001373291016,49.119998931884766,171.6699981689453,,68.45999908447266,3.6600000858306885,6.800000190734863,36.040000915527344,102.66999816894531,17.030000686645508,18.690000534057617,,45.88999938964844,28.239999771118164,,91.77999877929688,,,,,45.02000045776367,36.369998931884766,3.180000066757202,2342.219970703125,51.27000045776367,28.299999237060547,12.229999542236328,,,29.1200008392334,11.979999542236328,7.920000076293945,10.869999885559082
2022-11-02,109.61000061035156,178.5,126.51000213623047,51.13999938964844,135.58999633789062,114.7300033569336,103.23999786376953,125.83000183105469,33.040000915527344,27.59000015258789,71.0999984741211,140.39999389648438,35.790000915527344,17.899999618530273,29.760000228881836,252.9199981689453,44.2400016784668,67.44000244140625,154.8300018310547,10.510000228881836,,21.84000015258789,,48.40999984741211,,59.060001373291016,47.529998779296875,165.3699951171875,,67.37000274658203,3.609999895095825,6.650000095367432,35.439998626708984,103.7699966430664,17.139999389648438,18.360000610351562,,44.18000030517578,27.540000915527344,,86.26000213623047,,,,,43.13999938964844,34.68000030517578,3.0799999237060547,2329.0400390625,49.849998474121094,27.93000030517578,12.09000015258789,,,27.760000228881836,12.050000190734863,8.020000457763672,10.670000076293945
2022-11-03,111.0999984741211,181.1300048828125,133.82000732421875,51.79999923706055,138.3800048828125,118.19999694824219,103.12000274658203,129.7100067138672,33.150001525878906,28.290000915527344,72.16000366210938,142.10000610351562,36.86000061035156,18.040000915527344,31.420000076293945,255.63999938964844,47.290000915527344,70.7300033569336,158.52999877929688,11.4399995803833,,22.81999969482422,,46.849998474121094,,59.29999923706055,49.84000015258789,173.25999450683594,,68.4800033569336,4.159999847412109,6.46999979019165,35.400001525878906,99.12000274658203,17.3799991607666,17.719999313354492,,44.810001373291016,27.1299991607666,,83.22000122070312,,,,,46.529998779296875,35.38999938964844,3.0999999046325684,2395.239990234375,51.150001525878906,27.860000610351562,12.420000076293945,,,28.15999984741211,12.079999923706055,7.960000038146973,10.819999694824219
2022-11-04,112.30999755859375,183.4199981689453,132.32000732421875,53.099998474121094,142.22999572753906,117.6500015258789,103.4800033569336,128.72000122070312,33.540000915527344,29.110000610351562,73.2699966430664,146.52999877929688,38.47999954223633,18.170000076293945,32.029998779296875,255.05999755859375,48.9900016784668,71.4800033569336,161.3699951171875,11.65999984741211,,23.219999313354492,,46.900001525878906,,60.7400016784668,50.619998931884766,171.16000366210938,,70.62999725341797,4.059999942779541,6.809999942779541,37.220001220703125,100.87000274658203,17.68000030517578,18.43000030517578,,46.09000015258789,28.020000457763672,,87.13999938964844,,,,,46.33000183105469,36.86000061035156,3.190000057220459,2566.0,53.40999984741211,27.299999237060547,12.5,,,28.489999771118164,11.819999694824219,8.039999961853027,10.890000343322754
2022-11-07,113.63999938964844,185.61000061035156,134.94000244140625,54.810001373291016,145.94000244140625,119.5,105.43000030517578,131.77999877929688,33.84000015258789,30.6200008392334,75.97000122070312,148.74000549316406,39.540000915527344,18.25,33.029998779296875,257.9100036621094,49.5,72.04000091552734,163.49000549316406,12.149999618530273,,23.940000534057617,,48.27000045776367,,61.86000061035156,52.290000915527344,177.3000030517578,,73.37000274658203,4.260000228881836,7.300000190734863,39.33000183105469,104.2300033569336,18.15999984741211,20.280000686645508,,48.380001068115234,29.829999923706055,,90.0999984741211,,,,,48.22999954223633,37.380001068115234,3.2699999809265137,2715.06005859375,55.459999084472656,27.389999389648438,12.600000381469727,,,29.469999313354492,12.079999923706055,8.270000457763672,11.069999694824219
2022-11-08,114.0,185.33999633789062,134.44000244140625,54.689998626708984,148.25999450683594,119.0999984741211,105.11000061035156,132.25,33.959999084472656,30.940000534057617,74.83000183105469,148.2899932861328,39.369998931884766,18.309999465942383,32.72999954223633,259.25,49.040000915527344,71.98999786376953,163.5500030517578,12.210000038146973,,23.719999313354492,,48.650001525878906,,62.65999984741211,52.220001220703125,177.94000244140625,,72.2699966430664,4.190000057220459,7.070000171661377,38.630001068115234,104.75,18.030000686645508,19.700000762939453,,48.08000183105469,29.100000381469727,,88.23999786376953,,,,,47.7400016784668,35.790000915527344,3.119999885559082,2692.60009765625,55.18000030517578,27.299999237060547,12.609999656677246,,,29.770000457763672,12.229999542236328,8.300000190734863,11.050000190734863
2022-11-09,108.9000015258789,177.92999267578125,125.26000213623047,53.06999969482422,139.6199951171875,115.86000061035156,104.08999633789062,128.0,32.66999816894531,29.510000228881836,67.93000030517578,137.7100067138672,36.810001373291016,17.579999923706055,30.6299991607666,241.74000549316406,45.54999923706055,66.76000213623047,157.5500030517578,11.539999961853027,,22.530000686645508,,45.709999084472656,,60.86000061035156,48.29999923706055,164.7899932861328,,65.47000122070312,3.8499999046325684,6.489999771118164,35.72999954223633,98.70999908447266,17.479999542236328,17.81999969482422,,43.040000915527344,26.56999969482422,,81.37999725341797,,,,,42.84000015258789,31.950000762939453,2.9000000953674316,2611.64990234375,50.54999923706055,26.450000762939453,12.1899995803833,,,28.25,11.869999885559082,7.820000171661377,10.649999618530273
2022-11-10,110.5,181.3000030517578,129.4600067138672,53.099998474121094,142.30999755859375,119.18000030517578,106.23999786376953,132.4499969482422,33.619998931884766,30.579999923706055,70.4800033569336,139.83999633789062,37.810001373291016,18.200000762939453,31.600000381469727,245.4499969482422,47.0,68.9800033569336,160.27999877929688,11.630000114440918,,22.889999389648438,,48.15999984741211,,63.400001525878906,50.220001220703125,170.8800048828125,,68.33000183105469,3.990000009536743,6.909999847412109,37.630001068115234,101.80999755859375,17.84000015258789,18.6299991607666,,44.52000045776367,28.739999771118164,,86.30999755859375,,,,,44.380001068115234,34.52000045776367,3.1600000858306885,2685.85009765625,53.849998474121094,28.110000610351562,12.420000076293945,,,28.969999313354492,12.180000305175781,8.210000038146973,11.15999984741211
